,comments,posts,direction
2021-04-08,n/a,n/a,1
2021-01-27,neu,neu,-1
2021-02-17,n/a,n/a,-1
2021-01-07,neu,neu,1
2021-02-01,n/a,n/a,1
2021-01-11,neu,neg,1
2021-04-28,n/a,neu,-1
2021-04-12,n/a,n/a,1
2021-03-16,n/a,n/a,-1
2021-03-17,n/a,n/a,1
2021-04-13,n/a,n/a,1
2021-04-05,neu,neg,1
2021-03-01,n/a,n/a,-1
2021-04-29,n/a,neg,-1
2021-01-06,neu,neu,-1
2021-02-16,n/a,n/a,1
2021-01-26,n/a,neu,-1
2021-04-09,neu,neg,1
2021-02-11,neu,neg,1
2021-04-14,n/a,n/a,-1
2021-03-10,n/a,neg,-1
2021-03-30,n/a,neu,1
2021-03-26,n/a,n/a,1
2021-04-22,neu,neu,-1
2021-01-21,neu,neu,1
2021-01-20,neu,neu,1
2021-04-19,neu,neu,-1
2021-02-26,neu,neu,-1
2021-04-23,neu,neg,1
2021-03-31,neu,neu,1
2021-03-11,n/a,neu,1
2021-04-15,n/a,n/a,1
2021-02-10,neu,neu,1
2021-03-12,n/a,n/a,1
2021-04-16,n/a,n/a,-1
2021-03-04,n/a,neu,-1
2021-01-15,neu,neu,-1
2021-02-05,n/a,n/a,-1
2021-02-25,neu,neu,-1
2021-03-08,neu,neg,-1
2021-04-20,neu,neu,-1
2021-02-09,n/a,n/a,-1
2021-03-24,n/a,n/a,-1
2021-01-19,neu,neu,1
2021-03-25,n/a,n/a,1
2021-02-08,neu,neu,1
2021-04-21,neu,neg,1
2021-03-09,neu,neu,1
2021-02-24,neu,neu,1
2021-01-22,neu,neg,-1
2021-02-12,neu,neu,-1
2021-02-04,n/a,neu,1
2021-03-29,n/a,n/a,1
2021-01-14,neu,neu,-1
2021-03-05,n/a,n/a,-1
2021-04-01,n/a,n/a,1
2021-03-18,n/a,n/a,-1
2021-01-25,n/a,neu,-1
2021-02-23,n/a,neu,1
2021-04-26,neu,neg,1
2021-03-22,n/a,n/a,1
2021-02-19,neu,neu,-1
2021-01-29,neu,neg,-1
2021-04-06,neu,neu,-1
2021-03-02,neu,neu,-1
2021-01-13,n/a,neu,1
2021-02-03,n/a,n/a,-1
2021-01-05,n/a,n/a,1
2021-01-04,n/a,neg,1
2021-02-02,neu,neu,1
2021-01-12,neu,neu,-1
2021-03-03,neu,neu,-1
2021-04-07,n/a,neg,1
2021-03-15,n/a,n/a,1
2021-01-28,neu,neu,1
2021-01-08,neu,neu,-1
2021-02-18,neu,neg,1
2021-03-23,n/a,n/a,-1
2021-04-27,n/a,n/a,-1
2021-02-22,neu,neu,-1
2021-03-19,n/a,n/a,1
